,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
0,USA,"29,367,640","+53,825","529,063 ","+1,835","19,896,860","8,941,717","15,164","88,377","1,592","361,771,613","1,088,693","332,299,143 ",North America
1,India,"11,139,323","+15,704","157,385 ",+110,"10,810,162","171,776","8,944","8,019",113,"217,618,057","156,667","1,389,049,380 ",Asia
2,Brazil,"10,647,845","+58,237","257,562 ","+1,726","9,527,173","863,110","8,318","49,857","1,206","28,600,000","133,915","213,568,068 ",South America
3,Russia,"4,268,215","+10,565","86,896 ",+441,"3,838,040","343,279","2,300","29,239",595,"111,500,000","763,822","145,976,365 ",Europe
4,UK,"4,188,400","+6,391","123,296 ",+343,"3,005,720","1,059,384","1,806","61,482","1,810","91,520,691","1,343,437","68,124,277 ",Europe
5,Africa,"3,942,541","+8,333","104,556",+372,"3,504,483","333,502","2,500",,,,,,Africa
6,France,"3,783,528","+22,857","87,220 ",+330,"259,893","3,436,415","3,586","57,879","1,334","53,496,344","818,360","65,370,152 ",Europe
7,Spain,"3,130,184","+6,484","69,801 ",+192,"2,722,304","338,079","2,796","66,932","1,493","39,313,189","840,620","46,766,905 ",Europe
8,Italy,"2,955,434","+17,083","98,288 ",+343,"2,426,150","430,996","2,327","48,929","1,627","40,639,503","672,814","60,402,241 ",Europe
9,Turkey,"2,723,316","+11,837","28,706 ",+68,"2,586,073","108,537","1,227","32,060",338,"33,440,843","393,682","84,943,797 ",Asia
10,Germany,"2,462,054","+6,485","71,325 ",+401,"2,264,600","126,129","2,848","29,323",849,"43,950,029","523,444","83,963,113 ",Europe
11,Colombia,"2,259,599","+4,339","59,972 ",+106,"2,156,057","43,570","2,240","44,095","1,170","11,528,886","224,979","51,244,298 ",South America
12,Argentina,"2,118,676","+6,653","52,192 ",+115,"1,916,936","149,548","3,505","46,593","1,148","7,510,854","165,174","45,472,346 ",South America
13,Mexico,"2,089,281","+2,343","186,152 ",+437,"1,639,943","263,186","4,798","16,092","1,434","5,460,692","42,059","129,835,517 ",North America
14,Poland,"1,719,708","+7,937","44,008 ",+216,"1,438,032","237,668","1,540","45,472","1,164","9,945,404","262,975","37,818,835 ",Europe
15,Iran,"1,648,174","+8,495","60,267 ",+86,"1,406,845","181,062","3,738","19,457",711,"10,972,109","129,528","84,708,574 ",Asia
16,South Africa,"1,514,815",+856,"50,271 ",+194,"1,433,320","31,224",546,"25,329",841,"9,114,026","152,392","59,806,493 ",Africa
17,Ukraine,"1,357,470","+5,336","26,212 ",+162,"1,176,918","154,340",177,"31,165",602,"6,948,980","159,536","43,557,326 ",Europe
18,Indonesia,"1,347,026","+5,712","36,518 ",+193,"1,160,863","149,645",,"4,890",133,"10,868,049","39,455","275,451,098 ",Asia
19,Peru,"1,332,939",,"46,685 ",,"1,236,668","49,586","2,153","40,055","1,403","7,604,514","228,519","33,277,411 ",South America
20,Czechia,"1,252,242","+12,150","20,701 ",+96,"1,082,617","148,924","1,568","116,789","1,931","8,176,797","762,599","10,722,276 ",Europe
21,Netherlands,"1,096,433","+3,981","15,649 ",+65,N/A,N/A,540,"63,894",912,"6,970,400","406,195","17,160,240 ",Europe
22,Canada,"872,747","+2,714","22,045 ",+28,"820,450","30,252",567,"22,989",581,"24,545,470","646,565","37,962,879 ",North America
23,Chile,"832,512","+2,742","20,684 ",+24,"787,700","24,128","1,683","43,302","1,076","9,455,215","491,802","19,225,662 ",South America
24,Romania,"808,040","+3,950","20,509 ",+106,"744,040","43,491","1,044","42,192","1,071","6,375,052","332,875","19,151,490 ",Europe
25,Portugal,"805,647",+691,"16,389 ",+38,"723,465","65,793",446,"79,165","1,610","8,260,373","811,689","10,176,771 ",Europe
26,Israel,"785,218","+5,260","5,790 ",+30,"738,452","40,976",705,"85,372",630,"12,108,835","1,316,523","9,197,590 ",Asia
27,Belgium,"772,294",+783,"22,106 ",+29,"52,585","697,603",407,"66,443","1,902","9,483,745","815,923","11,623,338 ",Europe
28,Iraq,"703,778","+4,690","13,458 ",+30,"643,156","47,164",426,"17,241",330,"6,920,965","169,547","40,820,215 ",Asia
29,Sweden,"669,113",,"12,882 ",+37,N/A,N/A,234,"65,979","1,270","6,139,911","605,435","10,141,321 ",Europe
30,Pakistan,"582,528","+1,163","12,938 ",+42,"547,406","22,184","1,529","2,604",58,"9,022,124","40,325","223,737,417 ",Asia
31,Philippines,"580,442","+2,067","12,369 ",+47,"534,463","33,610",785,"5,250",112,"8,840,496","79,967","110,551,676 ",Asia
32,Switzerland,"558,622","+1,130","10,005 ",+17,"511,437","37,180",171,"64,233","1,150","5,109,623","587,524","8,696,869 ",Europe
33,Bangladesh,"547,316",+515,"8,423 ",+7,"498,391","40,502",,"3,301",51,"4,072,922","24,568","165,783,138 ",Asia
34,Morocco,"484,159",+393,"8,645 ",+8,"469,868","5,646",253,"13,014",232,"5,671,101","152,441","37,201,922 ",Africa
35,Serbia,"466,885","+4,157","4,475 ",+16,"400,347","62,063",168,"53,580",514,"2,970,536","340,902","8,713,758 ",Europe
36,Austria,"462,769","+1,920","8,605 ",+31,"433,873","20,291",296,"51,187",952,"5,456,284","603,523","9,040,726 ",Europe
37,Hungary,"435,689","+2,764","15,188 ",+130,"324,202","96,299",581,"45,178","1,575","3,693,390","382,977","9,643,903 ",Europe
38,Japan,"433,504",+731,"7,933 ",+46,"412,115","13,456",413,"3,435",63,"8,319,692","65,916","126,216,792 ",Asia
39,Jordan,"402,282","+5,124","4,756 ",+29,"354,143","43,383",353,"39,168",463,"4,678,877","455,558","10,270,657 ",Asia
40,UAE,"396,771","+2,721","1,253 ",+15,"383,998","11,520",,"39,797",126,"31,066,043","3,115,960","9,969,975 ",Asia
41,Lebanon,"380,036","+3,098","4,805 ",+62,"296,237","78,994",890,"55,847",706,"3,055,313","448,985","6,804,933 ",Asia
42,Saudi Arabia,"378,002",+302,"6,505 ",+5,"368,926","2,571",486,"10,747",185,"13,727,492","390,271","35,174,249 ",Asia
43,Panama,"341,420",,"5,858 ",,"327,317","8,245",195,"78,309","1,344","1,913,569","438,901","4,359,910 ",North America
44,Slovakia,"311,002","+2,077","7,388 ",+118,"255,300","48,314",694,"56,945","1,353","2,060,990","377,373","5,461,413 ",Europe
45,Malaysia,"304,135","+1,555","1,141 ",+6,"278,431","24,563",204,"9,317",35,"6,321,134","193,650","32,642,034 ",Asia
46,Belarus,"289,136",+869,"1,993 ",+7,"279,450","7,693",,"30,605",211,"4,915,522","520,313","9,447,241 ",Europe
47,Ecuador,"286,725",+358,"15,850 ",+18,"247,898","22,977",517,"16,089",889,"1,014,204","56,910","17,821,166 ",South America
48,Nepal,"274,294",+78,"2,777 ",,"270,543",974,,"9,303",94,"2,165,985","73,461","29,484,693 ",Asia
49,Georgia,"271,379",+461,"3,532 ",+12,"265,686","2,161",,"68,117",887,"2,752,944","690,994","3,984,034 ",Asia
50,Bulgaria,"252,029","+2,403","10,391 ",+83,"208,411","33,227",423,"36,456","1,503","1,695,947","245,317","6,913,298 ",Europe
51,Bolivia,"249,767",+757,"11,666 ",+17,"193,652","44,449",71,"21,204",990,"727,400","61,754","11,778,966 ",South America
52,Croatia,"243,458",+394,"5,548 ",+11,"235,017","2,893",65,"59,550","1,357","1,354,191","331,238","4,088,266 ",Europe
53,Dominican Republic,"240,201",+203,"3,118 ",+12,"192,651","44,432",191,"21,996",286,"1,211,817","110,968","10,920,424 ",North America
54,Azerbaijan,"235,014",+352,"3,225 ",+2,"228,982","2,807",,"23,040",316,"2,610,880","255,965","10,200,127 ",Asia
55,Tunisia,"234,231",+562,"8,047 ",+25,"199,476","26,708",265,"19,682",676,"985,763","82,830","11,901,036 ",Africa
56,Ireland,"220,630",+357,"4,333 ",+14,"23,364","192,933",112,"44,352",871,"3,560,558","715,757","4,974,532 ",Europe
57,Kazakhstan,"214,089",+658,"2,540 ",,"197,782","13,767",221,"11,312",134,"7,419,449","392,018","18,926,274 ",Asia
58,Denmark,"212,224",+532,"2,367 ",+2,"202,914","6,943",39,"36,554",408,"17,283,186","2,976,861","5,805,842 ",Europe
59,Costa Rica,"205,514",+428,"2,820 ",+8,"183,911","18,783",141,"40,099",550,"690,013","134,633","5,125,140 ",North America
60,Lithuania,"199,825",+426,"3,263 ",+7,"185,770","10,792",153,"74,100","1,210","2,132,358","790,729","2,696,699 ",Europe
61,Greece,"194,582","+2,312","6,557 ",+23,"169,525","18,500",422,"18,730",631,"5,315,053","511,610","10,388,882 ",Europe
62,Kuwait,"193,372","+1,341","1,092 ",+7,"181,119","11,161",160,"44,839",253,"1,800,627","417,530","4,312,568 ",Asia
63,Slovenia,"191,056",+729,"3,863 ",+9,"175,210","11,983",85,"91,892","1,858","918,299","441,675","2,079,129 ",Europe
64,Moldova,"187,847","+1,400","4,002 ",+27,"167,442","16,403",326,"46,639",994,"723,995","179,755","4,027,677 ",Europe
65,Palestine,"187,309","+1,973","2,063 ",+5,"168,763","16,483",114,"36,161",398,"1,183,235","228,428","5,179,912 ",Asia
66,Egypt,"183,591",+581,"10,778 ",+42,"141,655","31,158",90,"1,772",104,"1,000,000","9,651","103,615,081 ",Africa
67,Guatemala,"174,653",,"6,402 ",,"161,816","6,435",5,"9,630",353,"918,648","50,655","18,135,506 ",North America
68,Armenia,"172,456",+240,"3,200 ",+5,"163,738","5,518",,"58,126","1,079","736,590","248,265","2,966,949 ",Asia
69,Honduras,"170,985",+681,"4,174 ",+23,"66,709","100,102",406,"17,083",417,"449,997","44,958","10,009,297 ",North America
70,Qatar,"164,600",+463,259 ,,"154,420","9,921",106,"58,622",92,"1,550,694","552,280","2,807,805 ",Asia
71,Paraguay,"161,530","+1,082","3,218 ",+20,"135,373","22,939",261,"22,463",448,"758,780","105,520","7,190,874 ",South America
72,Ethiopia,"160,813",+841,"2,386 ",+13,"136,079","22,348",366,"1,376",20,"2,146,457","18,370","116,846,965 ",Africa
73,Nigeria,"156,496",+479,"1,923 ",+8,"134,551","20,022",10,747,9,"1,544,008","7,369","209,518,662 ",Africa
74,Oman,"142,169",+361,"1,580 ",+3,"132,945","7,644",70,"27,380",304,"1,550,000","298,508","5,192,491 ",Asia
75,Myanmar,"141,965",+49,"3,199 ",,"131,534","7,232",,"2,598",59,"2,493,481","45,624","54,653,341 ",Asia
76,Venezuela,"139,545",,"1,348 ",,"131,647","6,550",131,"4,917",47,"2,898,004","102,107","28,381,910 ",South America
77,Libya,"134,967",+840,"2,216 ",+6,"122,079","10,672",,"19,466",320,"733,872","105,845","6,933,463 ",Africa
78,Bosnia and Herzegovina,"133,088",+727,"5,145 ",+29,"116,821","11,122",,"40,736","1,575","661,206","202,382","3,267,114 ",Europe
79,Bahrain,"123,531",+492,453 ,+1,"116,487","6,591",60,"70,975",260,"3,120,729","1,793,034","1,740,474 ",Asia
80,Algeria,"113,430",+175,"2,991 ",+4,"78,377","32,062",21,"2,556",67,,,"44,376,672 ",Africa
81,Albania,"108,823",+892,"1,835 ",+19,"71,173","35,815",46,"37,842",638,"468,469","162,907","2,875,691 ",Europe
