,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent
1,Europe,"34,313,279","+129,634","819,402","+3,302","24,014,547","9,479,330","25,642",,,,,,Europe
2,North America,"33,675,703","+44,650","763,227","+1,804","23,444,772","9,467,704","21,694",,,,,,North America
3,USA,"29,353,430","+38,776","528,521 ","+1,293","19,868,245","8,956,664","15,173","88,336","1,591","361,538,441","1,088,008","332,293,850 ",North America
4,Asia,"25,149,224","+75,527","399,834",+816,"23,635,365","1,114,025","21,911",,,,,,Asia
5,South America,"18,051,656","+3,888","468,276",+59,"16,329,130","1,254,250","18,971",,,,,,South America
6,India,"11,139,313","+15,694","157,385 ",+110,"10,810,161","171,767","8,944","8,020",113,"217,618,057","156,671","1,389,012,340 ",Asia
7,Brazil,"10,589,608",,"255,836 ",,"9,457,100","876,672","8,318","49,585","1,198","28,600,000","133,918","213,563,946 ",South America
8,Russia,"4,268,215","+10,565","86,896 ",+441,"3,838,040","343,279","2,300","29,239",595,"111,500,000","763,823","145,976,195 ",Europe
9,UK,"4,188,400","+6,391","123,296 ",+343,"3,005,720","1,059,384","1,806","61,483","1,810","91,520,691","1,343,456","68,123,305 ",Europe
10,Africa,"3,938,569","+4,361","104,265",+81,"3,499,578","334,726","2,496",,,,,,Africa
11,France,"3,783,528","+22,857","87,220 ",+330,"259,893","3,436,415","3,586","57,879","1,334","53,496,344","818,365","65,369,759 ",Europe
12,Spain,"3,130,184","+6,484","69,801 ",+192,"2,722,304","338,079","2,796","66,932","1,493","39,313,189","840,621","46,766,856 ",Europe
13,Italy,"2,955,434","+17,083","98,288 ",+343,"2,426,150","430,996","2,327","48,929","1,627","40,639,503","672,812","60,402,483 ",Europe
14,Turkey,"2,723,316","+11,837","28,706 ",+68,"2,586,073","108,537","1,227","32,061",338,"33,440,843","393,693","84,941,319 ",Asia
15,Germany,"2,461,801","+6,232","71,319 ",+395,"2,264,600","125,882","2,848","29,320",849,"43,950,029","523,449","83,962,383 ",Europe
16,Colombia,"2,255,260",,"59,866 ",,"2,151,633","43,761","2,240","44,011","1,168","11,491,151","224,249","51,242,817 ",South America
17,Argentina,"2,112,023",,"52,077 ",,"1,911,338","148,608","3,505","46,447","1,145","7,466,942","164,213","45,471,214 ",South America
18,Mexico,"2,089,281","+2,343","186,152 ",+437,"1,639,943","263,186","4,798","16,092","1,434","5,460,692","42,060","129,831,819 ",North America
19,Poland,"1,719,708","+7,937","44,008 ",+216,"1,438,032","237,668","1,540","45,472","1,164","9,945,404","262,974","37,818,948 ",Europe
20,Iran,"1,648,174","+8,495","60,267 ",+86,"1,406,845","181,062","3,738","19,458",711,"10,972,109","129,532","84,705,636 ",Asia
21,South Africa,"1,513,959",,"50,077 ",,"1,431,336","32,546",546,"25,315",837,"9,077,479","151,786","59,804,451 ",Africa
22,Ukraine,"1,357,470","+5,336","26,212 ",+162,"1,176,918","154,340",177,"31,165",602,"6,948,980","159,534","43,558,040 ",Europe
23,Indonesia,"1,347,026","+5,712","36,518 ",+193,"1,160,863","149,645",,"4,890",133,"10,868,049","39,457","275,443,201 ",Asia
